"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validate Standard Headers","Allure_reports_demo","Fri Aug 08 15:34:17 UTC 2025","passed","Fri Aug 08 15:34:17 UTC 2025","","test_mocking_api2","",""
"","1","test_get_weather","Allure_reports_demo","Fri Aug 08 15:34:17 UTC 2025","passed","Fri Aug 08 15:34:17 UTC 2025","","test_mocking","",""
"","2","test_save_user","Allure_reports_demo","Fri Aug 08 15:34:17 UTC 2025","passed","Fri Aug 08 15:34:17 UTC 2025","","test_mock_db","",""
"","0","test_delete_user","Allure_reports_demo","Fri Aug 08 15:34:04 UTC 2025","passed","Fri Aug 08 15:34:04 UTC 2025","","test_database","",""
"","0","test_add_duplicate_user","Allure_reports_demo","Fri Aug 08 15:34:04 UTC 2025","passed","Fri Aug 08 15:34:04 UTC 2025","","test_database","",""
"","0","test_add_user","Allure_reports_demo","Fri Aug 08 15:34:04 UTC 2025","passed","Fri Aug 08 15:34:04 UTC 2025","","test_database","",""
"","0","test_login","Allure_reports_demo","Fri Aug 08 15:34:13 UTC 2025","skipped","Fri Aug 08 15:34:13 UTC 2025","TestGenralSetupOptions","test_first_report","",""
"","2894","testScteenShot","Allure_reports_demo","Fri Aug 08 15:34:13 UTC 2025","passed","Fri Aug 08 15:34:16 UTC 2025","TestGenralSetupOptions","test_first_report","",""
"","983","test_logo","Allure_reports_demo","Fri Aug 08 15:34:11 UTC 2025","passed","Fri Aug 08 15:34:12 UTC 2025","TestGenralSetupOptions","test_first_report","",""
"","0","test_listemployes","Allure_reports_demo","Fri Aug 08 15:34:13 UTC 2025","skipped","Fri Aug 08 15:34:13 UTC 2025","TestGenralSetupOptions","test_first_report","",""
"","0","test_divide_by_zero","Allure_reports_demo","Fri Aug 08 15:34:17 UTC 2025","passed","Fri Aug 08 15:34:17 UTC 2025","TestGenralSetupOptions","test_first_report","",""
